source	row_id	kind	k	credit_carried	credit_background	mean_cardinality	het_frac	mean_switches_per_window	frac_cells_gt1
sim	sim_ind0002		13	0.3561042547225952	0.3043927848339081	7.97767578125	0.9053515625	5.02	0.0
sim	sim_ind0004		9	0.38072049617767334	0.30554425716400146	8.0096484375	0.8990625	5.02	0.0
sim	sim_ind0007		2	0.6416894197463989	0.30674803256988525	8.0318359375	0.5490625	5.23	0.0
sim	sim_ind0013		15	0.3495689928531647	0.30965715646743774	8.03044921875	0.9328125	4.83	0.0
sim	sim_ind0014		24	0.3347664773464203		8.03439453125	0.96765625	4.8	0.0
sim	sim_ind0015		18	0.34300562739372253	0.3079427182674408	8.0217578125	0.94181640625	4.77	0.0
sim	sim_ind0018		14	0.35475587844848633	0.30952149629592896	8.061796875	0.9261328125	4.87	0.0
sim	sim_ind0023		2	0.6374609470367432	0.3050088584423065	7.9851171875	0.4690625	4.9	0.0
sim	sim_ind0027		2	0.6341601610183716	0.3093820810317993	8.0747265625	0.45076171875	4.96	0.0
sim	sim_ind0033		21	0.33801618218421936	0.30883464217185974	8.02484375	0.96248046875	4.78	0.0
sim	sim_ind0043		4	0.4703027606010437	0.3045419752597809	7.97205078125	0.75392578125	5.04	0.0
sim	sim_ind0045		17	0.3459179401397705	0.30474892258644104	8.01384765625	0.92923828125	4.95	0.0
sim	sim_ind0047		16	0.3465869128704071	0.3096557557582855	8.02263671875	0.9462890625	5.3	0.0
sim	sim_ind0053		24	0.33460044860839844		8.03041015625	0.9751171875	5.1	0.0
sim	sim_ind0060		21	0.3417569100856781	0.3021874725818634	8.08345703125	0.94828125	5.11	0.0
sim	sim_ind0063		10	0.37818557024002075	0.3051353096961975	8.05375	0.89912109375	5.22	0.0
sim	sim_ind0067		18	0.34331706166267395	0.3080533742904663	8.02802734375	0.9288671875	5.2	0.0
sim	sim_ind0071		9	0.3801366984844208	0.3057226240634918	8.0070703125	0.87791015625	5.19	0.0
sim	sim_ind0074		18	0.34435656666755676	0.31150713562965393	8.0674609375	0.9444921875	4.85	0.0
sim	sim_ind0075		22	0.3348064720630646	0.3040527105331421	7.97384765625	0.972734375	4.89	0.0
sim	sim_ind0081		15	0.34993359446525574	0.3095225691795349	8.03470703125	0.9290625	5.32	0.0
sim	sim_ind0084		18	0.3421419560909271	0.3077148497104645	8.00484375	0.968359375	4.92	0.0
sim	sim_ind0099		21	0.33602213859558105	0.3040364682674408	7.96857421875	0.96615234375	4.73	0.0
sim	sim_ind0104		20	0.3382851481437683	0.2998388409614563	7.96505859375	0.96298828125	5.14	0.0
sim	sim_ind0112		21	0.3356408178806305	0.3047330677509308	7.96265625	0.94169921875	5.11	0.0
sim	sim_ind0116		18	0.3430023789405823	0.3036588728427887	7.99599609375	0.94333984375	4.91	0.0
sim	sim_ind0117		7	0.4011048972606659	0.3038683235645294	7.97349609375	0.81919921875	5.02	0.0
sim	sim_ind0129		8	0.3860180675983429	0.30717039108276367	8.00287109375	0.87314453125	5.08	0.0
sim	sim_ind0137		10	0.3717324137687683	0.3087514042854309	8.03984375	0.9149609375	4.85	0.0
sim	sim_ind0141		16	0.3503186106681824	0.3097558617591858	8.08314453125	0.93353515625	5.05	0.0
sim	sim_ind0146		12	0.3569091558456421	0.3049560487270355	7.9423828125	0.91875	4.98	0.0
sim	sim_ind0147		23	0.3329084515571594	0.3177148401737213	7.974609375	0.94765625	4.88	0.0
sim	sim_ind0180		24	0.33463621139526367		8.03126953125	0.9590234375	4.79	0.0
sim	sim_ind0183		24	0.3351602852344513		8.04384765625	0.96509765625	5.0	0.0
sim	sim_ind0185		2	0.6334667801856995	0.30676403641700745	8.0157421875	0.47533203125	4.91	0.0
sim	sim_ind0186		4	0.47282227873802185	0.3089209198951721	8.06970703125	0.76333984375	4.96	0.0
