assemblyA	assemblyB	n_breakpoints_per_chrom	seed_idx	seed	het_frac	unknown_frac	n_sites	pair_acc	hap_acc	homo_pred
C009-T009	C027-T007	5	1	1501	0.5083543346774193	0.0	317440	0.5185483870967742	0.7576612903225807	0.0166015625
C009-T009	C027-T007	5	2	1502	0.5168031754032258	0.0	317440	0.5307774697580645	0.7637758316532258	0.02221522177419355
C009-T009	C027-T007	5	3	1503	0.5165133568548387	0.0	317440	0.528159652217742	0.7624669228830645	0.017631678427419355
C009-T009	C027-T007	5	4	1504	0.45432837701612905	0.0	317440	0.4744770665322581	0.7356256300403226	0.025403225806451612
C009-T009	C027-T007	10	0	2000	0.550034652217742	0.0	317440	0.5671339465725806	0.7819540700604839	0.024546370967741937
C009-T009	C027-T007	10	1	2001	0.46526902721774194	0.0	317440	0.4853515625	0.7410628780241936	0.025513482862903225
C009-T009	C027-T007	10	2	2002	0.49759009576612906	0.0	317440	0.5113375756048387	0.7540558845766129	0.02146547379032258
C009-T009	C027-T007	10	3	2003	0.5078566028225806	0.0	317440	0.5230563256048387	0.7599152595766129	0.021267011088709677
C009-T009	C027-T007	10	4	2004	0.5107327368951613	0.0	317440	0.5220797631048387	0.7594269783266129	0.018957913306451614
C009-T009	C050-T007	1	0	1100	0.5515662680868167	0.0	318464	0.568089328778135	0.7824369473472669	0.022526879019292605
C009-T009	C050-T007	1	1	1101	0.4772062148311897	0.0	318464	0.4823056923231511	0.7395451291197749	0.013759797025723473
C009-T009	C050-T007	1	2	1102	0.5371407757234726	0.0	318464	0.5497418860530546	0.7732632259847267	0.01790155245176849
C009-T009	C050-T007	1	3	1103	0.46120126607717044	0.0	318464	0.4675442122186495	0.7321643890675241	0.013985882234726688
C009-T009	C050-T007	1	4	1104	0.46269908058681675	0.0	318464	0.4834266981511254	0.740105632033762	0.024684108721864953
C009-T009	C050-T007	2	0	1200	0.4396792102090032	0.0	318464	0.4533542252813505	0.7250693955988746	0.02239185590836013
C009-T009	C050-T007	2	1	1201	0.4850124346864952	0.0	318464	0.49558819835209006	0.7461863821342444	0.01712595458199357
C009-T009	C050-T007	2	2	1202	0.5290707897909968	0.0	318464	0.5436470056270096	0.7702157857717041	0.02228195337620579
C009-T009	C050-T007	2	3	1203	0.5563171975482315	0.0	318464	0.5642584405144695	0.7805215032154341	0.016545041197749195
C009-T009	C050-T007	2	4	1204	0.6107848924839229	0.0	318464	0.6159974125803859	0.8063909892483923	0.01045016077170418
C009-T009	C050-T007	5	0	1500	0.530979953778135	0.0	318464	0.5475563956993569	0.7721704808078779	0.02136191217845659
C009-T009	C050-T007	5	1	1501	0.5106825261254019	0.0	318464	0.5216978999196141	0.7592412329180064	0.016196493167202574
C009-T009	C050-T007	5	2	1502	0.5166266830787781	0.0	318464	0.5331403235530546	0.7649624447347267	0.022033887660771703
C009-T009	C050-T007	5	3	1503	0.5185860882234726	0.0	318464	0.527532154340836	0.7621583601286174	0.012852316117363344
C009-T009	C050-T007	5	4	1504	0.45456315313504825	0.0	318464	0.47539125301446944	0.7360879094654341	0.024357541197749195
C009-T009	C050-T007	10	0	2000	0.5491358520900321	0.0	318464	0.5637654491559485	0.7802750075361736	0.019980280345659164
C009-T009	C050-T007	10	1	2001	0.4636599427250804	0.0	318464	0.4857974527733119	0.7412910093448553	0.025710912379421223
C009-T009	C050-T007	10	2	2002	0.49389883942926044	0.0	318464	0.5088958249598071	0.7528401954381029	0.021176647909967844
C009-T009	C050-T007	10	3	2003	0.5054543056672026	0.0	318464	0.5188278737942122	0.7578062198553055	0.018184158963022508
C009-T009	C050-T007	10	4	2004	0.509671422829582	0.0	318464	0.5207715785771704	0.7587780722467846	0.017311218850482316
C076-T198	C081-T199	1	0	1100	0.5555954549701047	0.0	342528	0.7303782464499252	0.8651891232249627	0.1797283725710015
C076-T198	C081-T199	1	1	1101	0.480398682735426	0.0	342528	0.7294819693572496	0.8647409846786248	0.25825625934230195
